dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,712.6538957000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6388617000193,712.6538957000012,712.6538957000012,712.6538957000012,771.4987659000035,10,1,[58.85475110000698],[58.85475719999522],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,0,0,3,,,,,771.9874509000219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.8734331000014,771.9874509000219,772.5205558000016,772.9968597000116,779.5120375000115,782.5282493999985,783.7472673000011,1.125925925925926,11.750648399989586,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,1,1,6,,,,,783.8162792000221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.7475479000132,783.8162792000221,784.7627407000109,784.8287226000102,791.7604451000225,,793.4960735000204,1.9222222222222223,9.669839200010756,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,2,2,8,,,,,793.5521260000241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.4962787000113,793.5521260000241,794.5115460000234,794.5607438000152,801.50912230002,,804.0781423000153,1.6592592592592592,10.516023500007577,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1182_injuries_infections.png,,,,,,,,,,,,,,,0,3,3,5,,,,,804.1294870999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0783456000208,804.1294870999991,805.0933216999983,805.1427412000194,812.0910937000008,815.1073949999991,818.24263600001,3.0481481481481483,14.103602499992121,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,4,4,7,,,,,818.2954309000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.2428476000205,818.2954309000052,819.258350100019,819.3076059000159,826.2558770000178,829.2722059000225,830.2746888000111,1.951851851851852,11.97013390000211,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,5,5,0,,,,,830.3895075000182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.2749017000024,830.3895075000182,831.2900537000096,831.3894183000084,838.2876871000044,,840.3067218000069,1,9.907501200010302,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,6,6,4,,,,,840.4211026999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.3069299000199,840.4211026999983,841.3219614000118,841.4214753000124,848.3198043000011,851.3359505000117,854.3212975000206,3.1074074074074076,13.890333499992266,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,7,7,2,,,,,854.714621000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.3215028000122,854.714621000021,855.337076100026,855.7197915000143,862.3347589000186,,864.2701197999995,2.022222222222222,9.545462300011422,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1034_food.png,,,,,,,,,,,,,,,0,8,8,1,,,,,864.3958202000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.2705168000248,864.3958202000067,865.2856484000222,865.4016991000099,872.2834526000079,,873.6524606000166,1.0444444444444445,9.246767099975841,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.6526000000013,873.6669941,873.6669941,876.2679753999982,1,[2.6145510000060312],[2.6145565999904647],,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,,1R,The government should pass a Constitutional amendment that would make it illegal to discriminate against anyone in any situation based on sexual orientation.,,,,,,,,,,,,,,,,,0,0,0,0,876.3242695000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.2747378000058,876.3242695000081,876.3242695000081,876.5017872000171,3.0,0.20163279998814687,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,,2R,"The national government should establish a centrally funded medical program so that all persons, regardless of means, have access to medical care.",,,,,,,,,,,,,,,,,0,1,1,1,876.5226582000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.5020747000235,876.5226582000032,876.5226582000032,889.4169040000124,2.0,12.891651600017212,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,,3,It should be legal and constitutional to say a prayer at the beginning of assemblies in public schools.,,,,,,,,,,,,,,,,,0,2,2,2,889.4368607000215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.4171245000034,889.4368607000215,889.4368607000215,893.7165562000009,4.0,4.277281499991659,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
