dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,240.6772133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.6633675,240.6772133,240.6772133,240.6772133,245.861055,6,1,[5.1929847999999765],[5.192989800008945],,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,245.876726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.8613986,245.876726,245.876726,245.876726,267.5751021,44,1,[21.71134529999108],[21.711350600002334],,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,267.5904366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.5754456,267.5904366,267.5904366,267.5904366,310.9859917,152,1,[43.40629529999569],[43.40630040000542],,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,311.0015919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.9863759,311.0015919,311.0015919,311.0015919,325.7674026,188,1,[14.775901499990141],[14.775906900002155],,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,0,0,6,,,,,326.0204063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.8653988,326.0204063,326.7915432,327.0337587,333.7856213,336.7982208,338.7842131,1.959259259,12.7542514,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,1,1,8,,,,,338.8397266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.7846216,338.8397266,339.7993132,339.8488141,346.7969205,,347.5328782,1.144444444,8.6831314,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,2,2,3,,,,,347.6570411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.5330832,347.6570411,348.5481528,348.664406,355.5459086,,356.3149194,1,8.6477921,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,3,3,0,,,,,356.4333055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.3151252,356.4333055,357.3303992,357.4465164,364.3282701,,364.7807933,1,8.3376023,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1034_food.png,,,,,,,,,,,,,,,0,4,4,1,,,,,364.9027463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.7810051,364.9027463,365.7959757,365.9121611,372.7936513,,373.4795938,1,8.5671767,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,5,5,7,,,,,373.5382862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4798045,373.5382862,374.4949964,374.5444288,381.492662,384.5088761,384.5279072,2.044444444,10.9798316,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
