dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,2,2,4,,,,,392.4464358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.4171768,392.4464358,393.4296842,393.445158,400.4288401,403.4434974,404.8166944,3.022222222,12.3602692,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,3,3,6,,,,,404.8531288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.8169684,404.8531288,405.828281,405.8606922,412.827165,,413.6308785,2.996296296,8.7685694,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,4,4,7,,,,,413.6598339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.6311356,413.6598339,414.6436413,414.6594298,421.6431552,,422.4832685,2.996296296,8.8135647,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,5,5,2,,,,,422.5137123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.4835406,422.5137123,423.4926292,423.5251048,430.4912647,433.5063405,434.193741,1.996296296,11.6708221,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1034_food.png,,,,,,,,,,,,,,,0,6,6,1,,,,,434.2210012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.1939916,434.2210012,435.2077995,435.223723,442.2062528,,443.5319709,2.977777778,9.3008458,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,7,7,0,,,,,443.5592708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.5322236,443.5592708,444.5397152,444.5722141,451.5373822,,452.2463202,2.977777778,8.6766031,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,images/1182_injuries_infections.png,,,,,,,,,,,,,,,0,8,8,5,,,,,452.2748265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.2466207,452.2748265,453.2555072,453.2878114,460.2537331,,460.960697,2.977777778,8.6744198,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.9608701,460.9696847,460.9696847,463.2546549,1,[2.2926962000201456],[2.292703800019808],,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,, ,The government should pass a Constitutional amendment that would make it illegal to discriminate against anyone in any situation based on sexual orientation.,,,,,,,,,,,,,,,,,0,0,0,0,463.2968637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.2627494,463.2968637,463.2968637,463.4208238,3,0.1296693,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,2R,"The national government should establish a centrally funded medical program so that all persons, regardless of means, have access to medical care.",,,,,,,,,,,,,,,,,0,1,1,1,463.4482307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.4213302,463.4482307,463.4482307,475.910452,2,12.4626883,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
