dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,248.6746695000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.65808999998262,248.6746695000038,248.6746695000038,248.6746695000038,259.77262519998476,6,1,[11.107595199981006],[11.107600799994543],,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,259.7879555999825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.77307389999623,259.7879555999825,259.7879555999825,259.7879555999825,276.88755429998855,34,1,[17.111647600017022],[17.11165350000374],,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,276.9032166999823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.88796019999427,276.9032166999823,276.9032166999823,276.9032166999823,293.2849725999986,152,1,[16.392188600002555],[16.392196799977683],,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,293.30151099999784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.2853937000036,293.30151099999784,293.30151099999784,293.30151099999784,334.77968529998907,168,1,[41.48796639998909],[41.48797220000415],,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,0,0,4,,,,,335.2067682000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.1514278999821,335.2067682000052,335.80451509999693,336.2123492999817,342.7974076999817,345.8101972999866,349.8956721999857,3.022222222222222,14.680271899997024,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,1,1,6,,,,,349.94587659998797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.8960114000074,349.94587659998797,350.9110787999816,350.96018399999593,357.90852299999096,360.9251987999887,363.010846899997,3.9,13.056002700002864,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,2,2,7,,,,,363.1376946999808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.01107769997907,363.1376946999808,364.0261252000055,364.142150700005,371.0237097000063,374.04000589999487,377.30963519998477,2.9703703703703703,14.16219960001763,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,3,3,2,,,,,377.43976759997895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.3098567999841,377.43976759997895,378.32429619997856,378.44011169997975,385.32172710000305,,386.6419217000075,1,9.19254920000094,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1182_injuries_infections.png,,,,,,,,,,,,,,,0,4,4,5,,,,,386.75319899999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.6421594999847,386.75319899999886,387.6565330000012,387.7555214999884,394.6537904999859,,395.4735837999906,4.92962962962963,8.711051999998745,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,5,5,0,,,,,395.6156793999835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.47381619998487,395.6156793999835,396.48842469998635,396.62131709998357,403.48622399999294,,404.9555469999905,1,9.330486999999266,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,6,6,8,,,,,404.99386309998226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.95577040000353,404.99386309998226,405.9709113999852,406.003417800006,412.9706914999988,,413.62142809998477,1.0074074074074073,8.618241600022884,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,7,7,3,,,,,414.0231528999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.62165479999385,414.0231528999866,414.6364201999968,415.03535329998704,421.6337268000061,,423.1207570999977,1.874074074074074,9.087425200006692,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
