dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,265.666502499982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.6498980000033,265.666502499982,265.666502499982,265.666502499982,269.6323061999865,6,1,[3.9763301000057254],[3.976338800013764],,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,269.64757609998924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.6328367999813,269.64757609998924,269.64757609998924,269.64757609998924,280.4969921000011,34,1,[10.861218800011557],[10.86123320000479],,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,280.5136896999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.49744109998574,280.5136896999902,280.5136896999902,280.5136896999902,287.99660069998936,162,1,[7.4932856999803334],[7.493294199986849],,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,288.0142663999868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.99712279997766,288.0142663999868,288.0142663999868,288.0142663999868,314.6932579999848,168,1,[26.689488100004382],[26.689496600010898],,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1034_food.png,,,,,,,,,,,,,,,0,0,0,1,,,,,314.7269710999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.69835389999207,314.7269710999972,315.72859600000083,315.7344921999902,322.7106101999816,325.74026269998285,326.5772061999887,1.0296296296296297,11.841732000000775,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1218_death.png,,,,,,,,,,,,,,,0,1,1,7,,,,,326.60606029999326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.5775622999936,326.60606029999326,327.59155349998036,327.6072521999886,334.5889855999849,,337.25948249999783,1,10.643909400008852,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1110_body products.png,,,,,,,,,,,,,,,0,2,2,2,,,,,337.2904562999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.2597736000025,337.2904562999902,338.2731203000003,338.2893768999784,345.2746242999856,,347.8156269000028,1.0222222222222221,10.513214100006735,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1253_hygiene.png,,,,,,,,,,,,,,,0,3,3,8,,,,,347.8520814999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.81587339998805,347.8520814999938,348.8220727999869,348.8546854000015,355.82160130000557,,357.46421279999777,1.0444444444444445,9.601836800022284,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1171_injuries_infections.png,,,,,,,,,,,,,,,0,4,4,4,,,,,357.4949751999811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.46446849999484,357.4949751999811,358.47088099998655,358.5033631999977,365.46907920000376,,366.65760969999246,1.0444444444444445,9.153123900003266,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1033_food.png,,,,,,,,,,,,,,,0,5,5,0,,,,,366.68508490000386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.6578776999959,366.68508490000386,367.669782699988,367.6855952999904,374.66883999999845,,375.5123504999792,1.0444444444444445,8.817382600012934,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,6,6,3,,,,,375.54204759999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.512602599978,375.54204759999993,376.5186569999787,376.5511760999798,383.5174342999817,,384.4532995999907,1.0444444444444445,8.90141270001186,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
